Name,Original_price,Offer,Final_price,Distance,Rating,Number of Rating,Summary
Capital O 62579 Royal Wood Premier,₹3516,40% off,₹2110,6.6 km,4.5 ,(504 Ratings),Excellent
OYO 19119 Shrungara Rooms,₹3271,40% off,₹1963,6.8 km,4.0 ,(35 Ratings),Very Good
OYO 47349 Luxurious Studio Sarjapur,₹2861,40% off,₹1717,7.5 km,4.5 ,(977 Ratings),Excellent
OYO 45383 Shyam Stay Lake View,₹1690,40% off,₹1014,4.7 km,4.1 ,(118 Ratings),Very Good
OYO X 879 Richmond Residency,₹2662,40% off,₹1597,6.4 km,4.7 ,(544 Ratings),Excellent
OYO 10527 Varcity Golf View,₹2587,40% off,₹1552,6.6 km,3.8 ,(247 Ratings),Good
OYO 6823 Apartment Bellandur,₹2069,41% off,₹1216,7.5 km,3.9 ,(413 Ratings),Good
OYO 649 Hotel Ajantha Trinity Inn,₹2301,40% off,₹1381,7.3 km,4.2 ,(556 Ratings),Very Good
Capital O 46356 White Mg,₹2550,40% off,₹1530,7.8 km,4.4 ,(1153 Ratings),Very Good
OYO 65901 Manyu Comforts,₹2381,40% off,₹1429,5.4 km,4.1 ,(56 Ratings),Very Good
SPOT ON 70863 Shyam Stay 2 SPOT,₹2026,40% off,₹1216,5.2 km,NEW,,
OYO Townhouse 255 Indiranagar Double Road,₹3190,40% off,₹1914,7.1 km,4.6 ,(1648 Ratings),Excellent
Capital O 70156 Victorian Comforts,₹2068,40% off,₹1241,6.5 km,4.1 ,(258 Ratings),Very Good
Capital O 333 Hotel Crystal Homes,₹2550,40% off,₹1530,7.7 km,4.5 ,(1291 Ratings),Excellent
OYO 15358 Hotel Townhall,₹1687,40% off,₹1012,6.5 km,4.1 ,(455 Ratings),Very Good
OYO Home 64525 Cozy Stay Hosa Road,₹2450,40% off,₹1470,7.8 km,4.2 ,(140 Ratings),Very Good
OYO 31532 Ira Residency,₹1690,40% off,₹1014,6.2 km,NEW,,
Capital O 68524 Hotel Brigade Legacy,₹2692,40% off,₹1615,6.8 km,4.1 ,(537 Ratings),Very Good
OYO 9959 Hotel Varcity Ruby,₹2244,57% off,₹976,6.6 km,4.0 ,(474 Ratings),Very Good
OYO 2561 Hotel Resida Service Apartments,₹2965,40% off,₹1779,7.2 km,4.5 ,(400 Ratings),Excellent
OYO 12524 Compact Supralisa,₹2448,50% off,₹1216,7.3 km,4.2 ,(159 Ratings),Very Good
Collection O 30073 Near Sarjapur Road,₹2325,40% off,₹1395,7.5 km,4.3 ,(1793 Ratings),Very Good
OYO Townhouse 258 Bellandur,₹2710,40% off,₹1626,6.7 km,4.3 ,(1331 Ratings),Very Good
OYO Home 62394 Elegant Home Banashankari,₹1690,40% off,₹1014,7.2 km,4.0 ,(1004 Ratings),Very Good
SPOT ON 65593 Yatra Inn SPOT,₹1180,40% off,₹708,6.1 km,4.3 ,(1172 Ratings),Very Good
OYO 7897 Status Suites,₹2951,40% off,₹1771,6.5 km,4.2 ,(331 Ratings),Very Good
OYO 42250 Cosy Stay Indiranagar,₹1690,40% off,₹1014,7.5 km,3.8 ,(191 Ratings),Good
OYO 9991 Sai Ram Residency,₹2026,40% off,₹1216,7.6 km,3.4 ,(256 Ratings),Fair
OYO 46682 New Andra House,₹3018,40% off,₹1811,8.4 km,3.9 ,(238 Ratings),Good
Capital O 61561 Comfort Cell,₹3407,40% off,₹2044,8.2 km,4.4 ,(102 Ratings),Very Good
OYO 71735 Hotel Bestend,₹1645,40% off,₹987,6.9 km,NEW,,
OYO 65199 Saishine Inn,₹2741,40% off,₹1645,7.6 km,3.7 ,(260 Ratings),Good
OYO 12965 Archana Comforts,₹1526,40% off,₹916,6.1 km,4.2 ,(136 Ratings),Very Good
OYO 432 Hotel Victoria Heights,₹2081,40% off,₹1249,6.3 km,4.2 ,(136 Ratings),Very Good
Capital O 18788 Phoenix Hotel & Resort,₹3198,40% off,₹1919,8.1 km,4.5 ,(1588 Ratings),Excellent
OYO 4645 Span Suites,₹1690,40% off,₹1014,7.1 km,4.1 ,(439 Ratings),Very Good
SPOT ON 41554 Hotel Sri Thirumala Paradise SPOT,₹1225,40% off,₹735,8.3 km,4.6 ,(2417 Ratings),Excellent
Capital O 2235 Oh My Rooms Indranagar,₹2806,40% off,₹1684,7.3 km,4.3 ,(1056 Ratings),Very Good
SPOT ON 49767 Hotel Iskcon Suites Deluxe,₹2026,40% off,₹1216,6.9 km,4.4 ,(539 Ratings),Very Good
OYO 47993 Luxurious Stay Indira Nagar,₹3052,40% off,₹1831,8.4 km,3.7 ,(215 Ratings),Good
OYO 38753 Shri Krishna Nandagokula,₹1690,40% off,₹1014,7.4 km,3.9 ,(161 Ratings),Good
OYO Townhouse 007 Indiranagar,₹7317,60% off,₹2896,8.1 km,4.3 ,(623 Ratings),Very Good
OYO 10924 Hotel Janpath,₹2026,40% off,₹1216,6.6 km,NEW,,
Capital O 28398 Mysore Gate,₹2898,40% off,₹1739,8.0 km,4.6 ,(1437 Ratings),Excellent
OYO 36197 Royal Wood,₹2482,40% off,₹1489,7.9 km,4.0 ,(143 Ratings),Very Good
OYO 9251 Grand Krishna,₹1690,40% off,₹1014,7.8 km,3.0 ,(403 Ratings),Fair
OYO Townhouse 238 Ulsoor,₹2265,40% off,₹1359,8.0 km,4.6 ,(2660 Ratings),Excellent
OYO Townhouse 014 MG Road Bangalore,₹8089,65% off,₹2830,7.2 km,4.1 ,(738 Ratings),Very Good
OYO 70616 Falcon Suites Saver,₹1566,40% off,₹940,8.1 km,4.4 ,(106 Ratings),Very Good
OYO 13523 Hotel Luxor The Budget Inn,₹2638,40% off,₹1583,8.5 km,3.7 ,(911 Ratings),Good
OYO 8116 Park Inn,₹2623,40% off,₹1574,8.3 km,4.0 ,(237 Ratings),Very Good
CAPITAL O71729 Lucky Inn,₹3196,40% off,₹1918,8.1 km,NEW,,
SPOT ON 46264 M K Grande SPOT,₹1280,40% off,₹768,7.6 km,4.6 ,(681 Ratings),Excellent
OYO Townhouse 268 Queensway,₹3191,40% off,₹1915,8.8 km,4.4 ,(919 Ratings),Very Good
SPOT ON 45275 Adarsh Hotel HRK SPOT,₹967,40% off,₹580,7.5 km,3.3 ,(65 Ratings),Fair
CAPITAL O71438 Sovereign Hotel  Deluxe,₹3196,40% off,₹1918,8.2 km,NEW,,
OYO 62768 Gm Royals,₹1430,40% off,₹858,8.0 km,4.2 ,(362 Ratings),Very Good
Capital O 27065 Eden Au Lac,₹2642,40% off,₹1585,9.0 km,4.2 ,(2181 Ratings),Very Good
Collection O 30067 Indiranagar,₹2886,65% off,₹1014,8.3 km,4.4 ,(2030 Ratings),Very Good
OYO Townhouse 035 Indiranagar,₹4917,63% off,₹1843,9.2 km,3.9 ,(1758 Ratings),Good
OYO 71538 Hotel Makam Comfort,₹1650,40% off,₹990,8.1 km,4.1 ,(17 Ratings),Very Good
OYO 47451 Elegant Indira Nagar,₹2801,40% off,₹1681,8.4 km,3.8 ,(380 Ratings),Good
OYO 16107 Rigel Residency,₹1673,40% off,₹1004,8.7 km,3.5 ,(444 Ratings),Good
OYO 64331 Blossom Comfort,₹2116,40% off,₹1270,8.3 km,4.3 ,(163 Ratings),Very Good
OYO 8480 A2B Electronic City,₹2606,40% off,₹1564,9.0 km,4.1 ,(399 Ratings),Very Good
OYO 9016 Charu Comforts,₹1690,40% off,₹1014,8.1 km,3.9 ,(417 Ratings),Good
OYO 25032 Seven Hills Guestline,₹2026,40% off,₹1216,9.4 km,3.3 ,(28 Ratings),Fair
Capital O 11927 Varcity Imperium,₹2675,40% off,₹1605,9.3 km,3.9 ,(2574 Ratings),Good
SPOT ON 43981 Falcon Tower SPOT,₹1376,40% off,₹826,8.0 km,4.7 ,(1213 Ratings),Excellent
OYO Townhouse 077 RNS Engineering College,₹2587,40% off,₹1552,9.3 km,4.2 ,(1163 Ratings),Very Good
OYO 43478 Sr Residency,₹1525,40% off,₹915,8.5 km,3.5 ,(112 Ratings),Good
Capital O 37665 Suites Konappana,₹2492,40% off,₹1495,9.1 km,4.5 ,(705 Ratings),Excellent
OYO 9605 Hotel Golden Inn,₹2486,40% off,₹1492,8.8 km,3.7 ,(544 Ratings),Good
Capital O 490 Hotel Compact Maple Leaf,₹2550,40% off,₹1530,9.4 km,4.4 ,(998 Ratings),Very Good
Capital O 46423 Clove Boutique Hotel Rajaji Nagar,₹2845,40% off,₹1707,10.0 km,4.4 ,(1584 Ratings),Very Good
CAPITAL O68790 Global Corporate Inn  Suite,₹2221,40% off,₹1333,9.4 km,NEW,,
OYO Flagship 15444 Manasa Electronic City,₹2393,41% off,₹1419,9.7 km,4.5 ,(1608 Ratings),Excellent
OYO 39947 Holistic Life Care,₹1321,40% off,₹793,9.3 km,3.7 ,(68 Ratings),Good
OYO 451 Goyal Residency,₹3187,40% off,₹1912,10.0 km,4.6 ,(309 Ratings),Excellent
OYO 18372 Splenor Inn,₹1690,40% off,₹1014,8.7 km,3.5 ,(280 Ratings),Good
Capital O 13184 Savi International,₹2805,40% off,₹1683,9.9 km,4.5 ,(1901 Ratings),Excellent
OYO 22836 Hotel Amster Inn,₹2026,40% off,₹1216,9.4 km,4.0 ,(358 Ratings),Very Good
Capital O 69551 Hotel Sona Grand,₹1690,40% off,₹1014,9.5 km,4.4 ,(698 Ratings),Very Good
